City_ID,City,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tuatapere,-46.13,55.99,63,31,8.99,NZ,1603236764
1,mataura,-46.19,55.99,63,25,8.99,NZ,1603236792
2,vaini,-21.2,77.0,65,75,10.29,TO,1603236877
3,upernavik,72.79,33.35,90,100,1.72,GL,1603236932
4,mumford,5.26,77.13,89,92,10.09,GH,1603236970
5,vostok,46.49,43.59,63,67,4.32,RU,1603236909
6,marsh harbour,26.54,81.32,75,100,23.29,BS,1603236736
7,ponta do sol,32.67,66.2,68,20,2.24,PT,1603236861
8,kavieng,-2.57,82.0,78,92,9.15,PG,1603236732
9,port elizabeth,-33.92,53.6,81,1,5.82,ZA,1603236739
10,bluff,-46.6,55.99,63,59,8.99,NZ,1603236865
11,dikson,73.51,23.22,96,89,5.46,RU,1603236683
12,mahebourg,-20.41,75.2,73,20,9.17,MU,1603236872
13,atlantic city,39.36,64.4,93,1,5.82,US,1603236971
14,te horo,-40.81,61.0,79,98,5.01,NZ,1603236971
15,rikitea,-23.12,73.8,78,0,13.6,PF,1603236574
16,belmonte,-15.86,73.4,94,75,6.22,BR,1603236971
17,lerwick,60.15,48.2,93,100,25.28,GB,1603236903
18,longhua,23.61,65.53,72,49,4.25,CN,1603236972
19,cape town,-33.93,53.01,81,0,3.36,ZA,1603236803
20,saskylakh,71.92,19.85,97,96,8.48,RU,1603236864
21,qaanaaq,77.48,20.7,82,0,6.06,GL,1603236821
22,mogadishu,2.04,78.98,81,27,11.07,SO,1603236718
23,jiexiu,37.02,47.5,42,0,9.15,CN,1603236973
24,morro da fumaca,-28.65,66.61,90,0,2.42,BR,1603236973
25,punta arenas,-53.15,46.4,52,75,8.05,CL,1603236862
26,coahuayana,18.73,82.4,78,75,11.41,MX,1603236941
27,hilo,19.73,87.8,45,1,11.41,US,1603236618
28,hobart,-42.88,63.0,54,75,5.82,AU,1603236858
29,georgetown,5.41,78.8,88,20,2.24,MY,1603236589
30,tarakan,3.3,79.83,82,100,5.46,ID,1603236974
31,isangel,-19.55,84.2,66,40,6.93,VU,1603236778
32,albany,42.6,60.01,81,100,3.36,US,1603236657
33,beaverton,45.49,63.0,63,90,5.82,US,1603236974
34,misratah,32.38,70.36,58,1,7.61,LY,1603236974
35,ushuaia,-54.8,42.8,81,40,6.93,AR,1603236856
36,butaritari,3.07,82.06,77,80,12.82,KI,1603236872
37,iwanai,42.97,55.53,52,0,5.32,JP,1603236975
38,gillette,44.29,42.8,77,90,4.7,US,1603236917
39,kumluca,36.37,69.51,60,94,2.84,TR,1603236975
40,northview,43.05,48.2,66,75,9.17,US,1603236975
41,batagay,67.63,8.1,93,94,3.44,RU,1603236940
42,torbay,47.67,55.99,93,90,12.75,CA,1603236897
43,leningradskiy,69.38,36.84,80,100,9.91,RU,1603236938
44,busselton,-33.65,63.0,56,0,7.16,AU,1603236720
45,amuntai,-2.42,79.81,75,99,1.41,ID,1603236860
46,nanortalik,60.14,36.12,93,99,12.64,GL,1603236745
47,kapaa,22.08,82.0,88,90,8.05,US,1603236854
